"Chr" "Position (hg19)" "Probe"
"chr19" "40904851" "cg00478479"
"chr11" "69863098" "cg00509485"
"chr7" "29329370" "cg00901138"
"chr6" "157932074" "cg01174743"
"chr1" "245812674" "cg01565291"
"chr3" "128745637" "cg01601299"
"chr11" "108408962" "cg02001060"
"chr7" "150711138" "cg02027878"
"chr16" "2029256" "cg02156899"
"chr7" "26578098" "cg02451831"
"chr11" "133449527" "cg02841651"
"chr10" "134765099" "cg03052071"
"chr1" "170115351" "cg03192897"
"chr22" "37962022" "cg03419948"
"chr16" "47052148" "cg03680291"
"chr11" "118781150" "cg03780927"
"chr3" "106718760" "cg03787282"
"chr16" "73104388" "cg04017036"
"chr5" "133448932" "cg04467093"
"chr16" "1013990" "cg04554272"
"chr14" "23789531" "cg04861271"
"chr16" "86029443" "cg05088892"
"chr16" "979553" "cg05204097"
"chr6" "33282896" "cg05210804"
"chr8" "26305656" "cg05367885"
"chr19" "55549746" "cg05374025"
"chr1" "16470667" "cg05797770"
"chr8" "144965577" "cg06242449"
"chr16" "15787940" "cg06361984"
"chr10" "102896640" "cg06382559"
"chr19" "17831720" "cg06649165"
"chr12" "9911289" "cg07354583"
"chr20" "825798" "cg08137888"
"chr1" "2435555" "cg08615111"
"chr16" "1820949" "cg08640252"
"chr16" "50626578" "cg09229492"
"chr16" "733842" "cg09465703"
"chr8" "135472342" "cg09918634"
"chr14" "103593520" "cg10501093"
"chr14" "65257245" "cg10794733"
"chr20" "35972385" "cg11210813"
"chr2" "217501092" "cg11669516"
"chr1" "7311176" "cg12097989"
"chr20" "62694000" "cg12176783"
"chr2" "54087209" "cg12451530"
"chr6" "31939322" "cg13069441"
"chr2" "25427451" "cg13349472"
"chr3" "181135878" "cg13448092"
"chr9" "124726047" "cg13628022"
"chr5" "111684298" "cg13967811"
"chr10" "100407378" "cg14251734"
"chr10" "120968739" "cg14351425"
"chr5" "173728459" "cg14459046"
"chr18" "52258182" "cg14535531"
"chr7" "150652864" "cg14711997"
"chr17" "1881333" "cg14769786"
"chr3" "10333655" "cg14886629"
"chr7" "93251418" "cg15036867"
"chr19" "48983600" "cg15246590"
"chr17" "56744413" "cg15249796"
"chr4" "134589655" "cg15297220"
"chr3" "38589863" "cg15682617"
"chr11" "130253770" "cg15701612"
"chr6" "44234175" "cg15787744"
"chr8" "74333589" "cg16017979"
"chr15" "99548954" "cg16149919"
"chr14" "22191827" "cg16304521"
"chr22" "51017162" "cg16386697"
"chr17" "19809078" "cg16611584"
"chr15" "68136196" "cg17018349"
"chr1" "31896392" "cg17086398"
"chr1" "36787356" "cg17139085"
"chr6" "149806331" "cg17501395"
"chr2" "1749076" "cg17801352"
"chr17" "81031724" "cg18104015"
"chr14" "88200397" "cg18174099"
"chr7" "155857781" "cg18415822"
"chr14" "24641706" "cg18512948"
"chr10" "70322442" "cg19127638"
"chr1" "170115258" "cg19303898"
"chr15" "40572550" "cg19442201"
"chr20" "3644097" "cg19545472"
"chr8" "145750363" "cg19682134"
"chr2" "136595261" "cg20242066"
"chr12" "119772354" "cg20488281"
"chr7" "70194602" "cg20680265"
"chr5" "3301621" "cg20683267"
"chr13" "113622539" "cg20895669"
"chr19" "56618060" "cg20956548"
"chr1" "32207700" "cg20975182"
"chr16" "71264290" "cg20977864"
"chr6" "157931791" "cg20988098"
"chr22" "20779896" "cg21299458"
"chr7" "5735123" "cg21637392"
"chr1" "3616498" "cg22234529"
"chr19" "1999167" "cg22551942"
"chr17" "64787784" "cg22632947"
"chr8" "64132778" "cg22660370"
"chr2" "928720" "cg22745354"
"chr1" "12107668" "cg22877366"
"chr3" "49756301" "cg22993195"
"chr10" "78011952" "cg23024158"
"chr7" "27143046" "cg23206851"
"chr15" "58521438" "cg23634401"
"chr15" "68133972" "cg23793686"
"chr2" "3283997" "cg23855901"
"chr6" "31939112" "cg23906067"
"chr4" "657074" "cg23980776"
"chr8" "6418978" "cg24195359"
"chr11" "133928292" "cg24490227"
"chr15" "96590566" "cg24667603"
"chr11" "124621829" "cg24942416"
"chr17" "36147478" "cg24985035"
"chr9" "132083538" "cg25073708"
"chr8" "144810034" "cg25468618"
"chr5" "176172918" "cg25663304"
"chr8" "145578141" "cg25862768"
"chr1" "82265652" "cg25974355"
"chr17" "80137377" "cg26093898"
"chr4" "8687039" "cg26227569"
"chr13" "75736246" "cg26469220"
"chr16" "65420843" "cg26616201"
"chr2" "135621176" "cg26890182"
"chr4" "5472116" "cg26943120"
