"Chr" "Position (hg19)" "Probe"
"chr9" "116171972" "cg00070052"
"chr6" "152130332" "cg00601836"
"chr12" "116044025" "cg00873601"
"chr1" "36039173" "cg01101380"
"chr21" "40554221" "cg01103827"
"chr11" "65360327" "cg01178624"
"chr19" "3607269" "cg01209635"
"chr9" "19379118" "cg01331992"
"chr12" "58236712" "cg01644731"
"chr4" "4293079" "cg02142461"
"chr12" "54677008" "cg02583484"
"chr20" "44829722" "cg02661079"
"chr8" "60032926" "cg02892925"
"chr11" "65343929" "cg03033176"
"chr3" "42201649" "cg03168947"
"chr13" "29232327" "cg03437912"
"chr7" "4778881" "cg03461110"
"chr10" "118084320" "cg03472000"
"chr3" "57743163" "cg03534375"
"chr11" "98940816" "cg03798743"
"chr12" "48210934" "cg03888592"
"chr1" "203242638" "cg03890167"
"chr10" "13425201" "cg03902201"
"chr22" "20784542" "cg04097078"
"chr7" "99614209" "cg04305808"
"chr19" "35758185" "cg04731926"
"chr7" "100187399" "cg05003599"
"chr16" "88706426" "cg05463589"
"chr6" "2375895" "cg05612654"
"chr19" "34991070" "cg05620261"
"chr3" "49170727" "cg05654765"
"chr7" "98991138" "cg05715492"
"chr2" "234264163" "cg06191495"
"chr14" "99641017" "cg06341731"
"chr10" "99160096" "cg06359132"
"chr19" "1192499" "cg06498272"
"chr16" "85845811" "cg06521653"
"chr14" "24785488" "cg06768599"
"chr3" "69942668" "cg06789445"
"chr12" "12867669" "cg06826457"
"chr1" "151137676" "cg06902698"
"chr2" "198571554" "cg07588439"
"chr13" "113952548" "cg07642595"
"chr4" "8201560" "cg07816074"
"chr20" "3730943" "cg07963563"
"chr19" "10444506" "cg07976603"
"chr6" "26195954" "cg08122386"
"chr16" "88111009" "cg08250921"
"chr5" "1850140" "cg08347626"
"chr16" "70834335" "cg08382220"
"chr1" "27683351" "cg09230763"
"chr7" "155284355" "cg09406004"
"chr16" "73517493" "cg09573515"
"chr11" "126137977" "cg09941876"
"chr17" "72759282" "cg09978353"
"chr20" "62688896" "cg09990613"
"chr3" "50396252" "cg10133500"
"chr1" "871308" "cg10146935"
"chr5" "178692728" "cg10213542"
"chr7" "2560976" "cg10364115"
"chr1" "160312182" "cg10382814"
"chr6" "31634657" "cg10586546"
"chr10" "77871675" "cg10658779"
"chr1" "147253401" "cg10950358"
"chr14" "51252662" "cg11190278"
"chr17" "26501467" "cg11414202"
"chr19" "855536" "cg11683663"
"chr6" "74364667" "cg11742202"
"chr6" "33241026" "cg12086028"
"chr6" "24718589" "cg12104246"
"chr3" "194015171" "cg12155036"
"chr20" "62694000" "cg12176783"
"chr13" "112310720" "cg12259522"
"chr1" "152008083" "cg12280317"
"chr3" "169758289" "cg12350863"
"chr11" "126335883" "cg12689529"
"chr10" "63657363" "cg12845268"
"chr1" "246728677" "cg12910806"
"chr1" "153518476" "cg13091627"
"chr13" "111806949" "cg13127231"
"chr17" "1961440" "cg13389502"
"chr7" "155438591" "cg13810727"
"chr7" "157346224" "cg13912824"
"chr1" "1289806" "cg14270725"
"chr14" "57858383" "cg14271729"
"chr10" "81003175" "cg14371731"
"chr8" "126012434" "cg14660676"
"chr6" "42019127" "cg14707053"
"chr12" "58120237" "cg14845962"
"chr10" "70863693" "cg14898243"
"chr9" "129433969" "cg14916924"
"chr3" "9944512" "cg15095327"
"chr19" "40736427" "cg15153957"
"chr4" "140216263" "cg15392111"
"chr3" "155570809" "cg15451248"
"chr6" "30586293" "cg15961920"
"chr1" "228328880" "cg16000360"
"chr5" "135365012" "cg16031250"
"chr12" "114107712" "cg16065768"
"chr19" "49843627" "cg16423910"
"chr12" "95598159" "cg16526732"
"chr17" "27048223" "cg16565409"
"chr7" "30635889" "cg16875104"
"chr15" "75475038" "cg16906765"
"chr6" "128813319" "cg16983110"
"chr4" "5710761" "cg17242664"
"chr13" "46014654" "cg17594256"
"chr10" "123909456" "cg18322589"
"chr13" "25085301" "cg18582260"
"chr14" "103593503" "cg18587137"
"chr14" "105603153" "cg18974224"
"chr19" "3688477" "cg19423978"
"chr17" "7144367" "cg19646165"
"chr18" "47813174" "cg19887750"
"chr2" "218843435" "cg20225999"
"chr11" "16761292" "cg20474675"
"chr10" "80999841" "cg20744163"
"chr19" "56618060" "cg20956548"
"chr14" "105399321" "cg20978937"
"chr9" "19050395" "cg21162977"
"chr9" "14344359" "cg21212881"
"chr12" "27088580" "cg21226442"
"chr1" "221053904" "cg21282663"
"chr7" "5735123" "cg21637392"
"chr20" "62682309" "cg21721340"
"chr7" "100882175" "cg22188918"
"chr18" "7011217" "cg22220710"
"chr9" "93880502" "cg22828581"
"chr2" "211180386" "cg22904096"
"chr1" "2509272" "cg22948959"
"chr5" "72795181" "cg23035209"
"chr3" "14615941" "cg23141851"
"chr20" "44655227" "cg23274660"
"chr2" "85553759" "cg23404877"
"chr6" "33385056" "cg23565821"
"chr15" "92944756" "cg23928920"
"chr2" "121269292" "cg23998478"
"chr6" "31508126" "cg24332685"
"chr11" "457304" "cg24420089"
"chr18" "60264554" "cg24439448"
"chr13" "110433784" "cg24526103"
"chr11" "850296" "cg24869272"
"chr19" "11517079" "cg24937727"
"chr3" "45837197" "cg24940967"
"chr18" "31806577" "cg26125366"
"chr11" "96076794" "cg26328687"
"chr13" "100548780" "cg27053299"
"chr12" "81104111" "cg27278519"
