"cg00478479"	"cg00509485"	"cg00901138"	"cg01174743"	"cg01565291"	"cg01601299"	"cg02001060"	"cg02027878"	"cg02156899"	"cg02451831"	"cg02841651"	"cg03052071"	"cg03192897"	"cg03419948"	"cg03680291"	"cg03780927"	"cg03787282"	"cg04017036"	"cg04467093"	"cg04554272"	"cg04861271"	"cg05088892"	"cg05204097"	"cg05210804"	"cg05367885"	"cg05374025"	"cg05797770"	"cg06242449"	"cg06361984"	"cg06382559"	"cg06649165"	"cg07354583"	"cg08137888"	"cg08615111"	"cg08640252"	"cg09229492"	"cg09465703"	"cg09918634"	"cg10501093"	"cg10794733"	"cg11210813"	"cg11669516"	"cg12097989"	"cg12176783"	"cg12451530"	"cg13069441"	"cg13349472"	"cg13448092"	"cg13628022"	"cg13967811"	"cg14251734"	"cg14351425"	"cg14459046"	"cg14535531"	"cg14711997"	"cg14769786"	"cg14886629"	"cg15036867"	"cg15246590"	"cg15249796"	"cg15297220"	"cg15682617"	"cg15701612"	"cg15787744"	"cg16017979"	"cg16149919"	"cg16304521"	"cg16386697"	"cg16611584"	"cg17018349"	"cg17086398"	"cg17139085"	"cg17501395"	"cg17801352"	"cg18104015"	"cg18174099"	"cg18415822"	"cg18512948"	"cg19127638"	"cg19303898"	"cg19442201"	"cg19545472"	"cg19682134"	"cg20242066"	"cg20488281"	"cg20680265"	"cg20683267"	"cg20895669"	"cg20956548"	"cg20975182"	"cg20977864"	"cg20988098"	"cg21299458"	"cg21637392"	"cg22234529"	"cg22551942"	"cg22632947"	"cg22660370"	"cg22745354"	"cg22877366"	"cg22993195"	"cg23024158"	"cg23206851"	"cg23634401"	"cg23793686"	"cg23855901"	"cg23906067"	"cg23980776"	"cg24195359"	"cg24490227"	"cg24667603"	"cg24942416"	"cg24985035"	"cg25073708"	"cg25468618"	"cg25663304"	"cg25862768"	"cg25974355"	"cg26093898"	"cg26227569"	"cg26469220"	"cg26616201"	"cg26890182"	"cg26943120"	"batch"	"subject"
"GSM2862798"	"0.177232482"	"0.574734762"	"0.530276434"	"0.405020169"	"0.633465456"	"0.437460215"	"0.81564725"	"0.45825327"	"0.784200503"	"0.799652973"	"0.69092696"	"0.762778365"	"0.56323888"	"0.474485386"	"0.399352369"	"0.559222225"	"0.563239828"	"0.825313872"	"0.424389955"	"0.742306456"	"0.882689731"	"0.514524986"	"0.670812748"	"0.55809328"	"0.470599708"	"0.454994584"	"0.756947237"	"0.311653674"	"0.897395825"	"0.325830242"	"0.673298429"	"0.062568749"	"0.293277522"	"0.527120133"	"0.413535894"	"0.688562641"	"0.627618381"	"0.733286763"	"0.883409848"	"0.479093884"	"0.465468345"	"0.69360521"	"0.473805053"	"0.828737238"	"0.879051996"	"0.486923635"	"0.606150519"	"0.435168208"	"0.233338646"	"0.133877564"	"0.492887013"	"0.145537062"	"0.361013003"	"0.428179237"	"0.724660682"	"0.224249806"	"0.750994455"	"0.448718588"	"0.474004955"	"0.427728185"	"0.36389104"	"0.238800578"	"0.746047881"	"0.663318071"	"0.856346202"	"0.831724168"	"0.152954472"	"0.798583696"	"0.472662112"	"0.871203112"	"0.22541666"	"0.566304248"	"0.325762249"	"0.589212108"	"0.770140561"	"0.827298168"	"0.174727688"	"0.249977399"	"0.735901054"	"0.418683495"	"0.722845516"	"0.57235784"	"0.455415184"	"0.519740175"	"0.269475638"	"0.811180806"	"0.266955237"	"0.631791746"	"0.528688084"	"0.859595352"	"0.591861848"	"0.514984857"	"0.37468906"	"0.168377288"	"0.469899359"	"0.745367044"	"0.484375785"	"0.461143609"	"0.53838354"	"0.454834413"	"0.808615463"	"0.41256588"	"0.230662902"	"0.349805841"	"0.707098329"	"0.812172703"	"0.537923032"	"0.852292809"	"0.77918971"	"0.385682591"	"0.220663442"	"0.917350903"	"0.796812391"	"0.349563504"	"0.751832789"	"0.262924135"	"0.247970394"	"0.465162507"	"0.917724128"	"0.432575365"	"0.511845821"	"0.569368065"	"0.825925261"	"0.339183739"	"1"	"0"
"GSM2862799"	"0.350088971"	"0.565459938"	"0.410032835"	"0.391658552"	"0.556995923"	"0.455748827"	"0.671120796"	"0.389376546"	"0.786771721"	"0.804940055"	"0.748529835"	"0.77181264"	"0.56179813"	"0.494598876"	"0.431817854"	"0.541046063"	"0.524823989"	"0.863061315"	"0.420803028"	"0.725917884"	"0.814509108"	"0.561554954"	"0.772358836"	"0.553722455"	"0.467027677"	"0.517793457"	"0.729886374"	"0.292125958"	"0.922838974"	"0.268826804"	"0.656581838"	"0.123572191"	"0.246516079"	"0.515757174"	"0.382779833"	"0.702415664"	"0.634428427"	"0.743445019"	"0.921405205"	"0.541980552"	"0.373834245"	"0.756307233"	"0.456645186"	"0.832080061"	"0.871908865"	"0.47971195"	"0.67773264"	"0.456497426"	"0.315259508"	"0.200037883"	"0.526203019"	"0.153639596"	"0.388326307"	"0.45829225"	"0.746121386"	"0.144677182"	"0.781131811"	"0.450954215"	"0.472793921"	"0.387524283"	"0.283125496"	"0.192351527"	"0.815606632"	"0.634079458"	"0.873531231"	"0.849945103"	"0.184365029"	"0.698991163"	"0.512856918"	"0.861478514"	"0.241476863"	"0.548392993"	"0.298684561"	"0.627340927"	"0.767652016"	"0.791740825"	"0.188518997"	"0.18944729"	"0.67138764"	"0.426205924"	"0.636880814"	"0.587457768"	"0.374003821"	"0.533066512"	"0.279526616"	"0.68570883"	"0.281035158"	"0.610997701"	"0.536378828"	"0.795423068"	"0.627014597"	"0.477788082"	"0.20374669"	"0.120227543"	"0.556430181"	"0.688292566"	"0.460634322"	"0.386691527"	"0.486651372"	"0.362974389"	"0.804768242"	"0.385461143"	"0.214550028"	"0.355941087"	"0.694262943"	"0.833450597"	"0.500520633"	"0.846253583"	"0.691594411"	"0.323039057"	"0.263661"	"0.867764658"	"0.757167039"	"0.342413327"	"0.677689419"	"0.290903385"	"0.208991391"	"0.43959075"	"0.88134747"	"0.42883445"	"0.629592741"	"0.612782464"	"0.818404596"	"0.581174177"	"1"	"0"
"GSM2862800"	"0.536321023"	"0.548809454"	"0.789087043"	"0.191701795"	"0.64511837"	"0.542345546"	"0.642098774"	"0.572094196"	"0.889406939"	"0.448033878"	"0.825266149"	"0.722172255"	"0.852064897"	"0.264446677"	"0.338903439"	"0.723553262"	"0.39838865"	"0.738862275"	"0.603288653"	"0.65737466"	"0.809302326"	"0.659593818"	"0.454989329"	"0.666116748"	"0.345906468"	"0.18729817"	"0.472833991"	"0.139949172"	"0.609015278"	"0.349143755"	"0.723979482"	"0.309744634"	"0.442028264"	"0.659310945"	"0.48687012"	"0.8164542"	"0.719217192"	"0.643284952"	"0.974946218"	"0.311648783"	"0.373183341"	"0.893260978"	"0.570146262"	"0.858594615"	"0.807636147"	"0.625638757"	"0.77049921"	"0.589474806"	"0.112367975"	"0.352696539"	"0.759541772"	"0.37560997"	"0.667216297"	"0.179433785"	"0.806814821"	"0.205381723"	"0.663874289"	"0.346625161"	"0.548854989"	"0.587329611"	"0.229404325"	"0.192682927"	"0.563164277"	"0.401970316"	"0.775281323"	"0.868491062"	"0.383311148"	"0.880515432"	"0.592262899"	"0.773340482"	"0.472558566"	"0.81104369"	"0.648421143"	"0.755659272"	"0.679322081"	"0.59676433"	"0.249678533"	"0.356285342"	"0.599197418"	"0.766433735"	"0.52643013"	"0.733577252"	"0.874724681"	"0.440357426"	"0.497353724"	"0.592374114"	"0.457825682"	"0.477167461"	"0.456869318"	"0.669078126"	"0.68246774"	"0.295981525"	"0.485693732"	"0.198676139"	"0.712396332"	"0.719838614"	"0.611905499"	"0.30330738"	"0.700286449"	"0.233623444"	"0.868443572"	"0.588153115"	"0.169721595"	"0.272947129"	"0.786164474"	"0.424932595"	"0.645134771"	"0.870048861"	"0.416266212"	"0.261063556"	"0.230168545"	"0.764049782"	"0.605315431"	"0.508753107"	"0.867001049"	"0.184036396"	"0.294804806"	"0.420565061"	"0.812917701"	"0.323811627"	"0.722712472"	"0.768611919"	"0.688541608"	"0.282362885"	"1"	"1"
"GSM2862801"	"0.481156523"	"0.469176938"	"0.727330543"	"0.193855627"	"0.615938747"	"0.552494093"	"0.609969929"	"0.574270646"	"0.872663717"	"0.506598278"	"0.778260696"	"0.677396305"	"0.764023053"	"0.290340557"	"0.320995609"	"0.71580145"	"0.455931633"	"0.726811543"	"0.58701394"	"0.632394299"	"0.806306049"	"0.71439966"	"0.436460246"	"0.637125312"	"0.324095398"	"0.200787218"	"0.703898461"	"0.141966226"	"0.456708903"	"0.465715844"	"0.773396163"	"0.270326046"	"0.542212336"	"0.590236501"	"0.572811095"	"0.812987261"	"0.740227133"	"0.628176934"	"0.95382597"	"0.29377766"	"0.36115717"	"0.802784122"	"0.537212456"	"0.864551852"	"0.832111938"	"0.704507384"	"0.668812797"	"0.571323147"	"0.129221885"	"0.397873441"	"0.831533238"	"0.283030033"	"0.43782707"	"0.172529977"	"0.79212659"	"0.248424641"	"0.627557586"	"0.263959201"	"0.546869269"	"0.452502399"	"0.219057995"	"0.18084033"	"0.543648337"	"0.487046697"	"0.755658827"	"0.869488104"	"0.368196886"	"0.863091753"	"0.732709109"	"0.713740556"	"0.555425676"	"0.798723404"	"0.542241754"	"0.65655704"	"0.754855016"	"0.589269027"	"0.283394089"	"0.319277721"	"0.499303003"	"0.636132841"	"0.503187274"	"0.721999398"	"0.832613694"	"0.379757127"	"0.412843163"	"0.557585675"	"0.389425548"	"0.436558243"	"0.255701396"	"0.658088266"	"0.690074861"	"0.213770041"	"0.505481506"	"0.244410156"	"0.729784666"	"0.520330176"	"0.596372182"	"0.301320855"	"0.70564485"	"0.261284055"	"0.846946835"	"0.644908533"	"0.162018245"	"0.270222785"	"0.846224961"	"0.411033257"	"0.737977108"	"0.846320795"	"0.352277056"	"0.204812011"	"0.209807381"	"0.717438656"	"0.524649845"	"0.535696552"	"0.851017665"	"0.166641935"	"0.418697309"	"0.405590824"	"0.746940449"	"0.296738167"	"0.611697183"	"0.729437588"	"0.629298199"	"0.241667595"	"1"	"1"
"GSM2862802"	"0.370904912"	"0.524908814"	"0.791713863"	"0.199712576"	"0.661650514"	"0.555570616"	"0.63290954"	"0.517329672"	"0.796312262"	"0.361389866"	"0.755768182"	"0.654572838"	"0.784318181"	"0.439226238"	"0.403466306"	"0.635125235"	"0.65071309"	"0.724474309"	"0.67633243"	"0.615336237"	"0.756009727"	"0.648755509"	"0.37584899"	"0.613914191"	"0.321435931"	"0.293548724"	"0.559366942"	"0.170561006"	"0.708839596"	"0.410013634"	"0.762196983"	"0.455468642"	"0.477541742"	"0.676254679"	"0.362975263"	"0.797018092"	"0.626922752"	"0.674785603"	"0.958931552"	"0.331477321"	"0.444924678"	"0.813396195"	"0.576243585"	"0.809329818"	"0.744676057"	"0.697108805"	"0.657294333"	"0.658981962"	"0.094866834"	"0.346747748"	"0.691673899"	"0.382008751"	"0.371317154"	"0.193504532"	"0.726189854"	"0.219323585"	"0.593746337"	"0.366517034"	"0.551278641"	"0.557379179"	"0.211398073"	"0.192439474"	"0.63415452"	"0.473710943"	"0.748580802"	"0.873588385"	"0.324613509"	"0.871441877"	"0.746652671"	"0.716680907"	"0.449017196"	"0.725526062"	"0.468204681"	"0.76355587"	"0.764436031"	"0.646650696"	"0.300640909"	"0.22440528"	"0.555472128"	"0.677081443"	"0.52150802"	"0.749209641"	"0.866960174"	"0.369253589"	"0.366008713"	"0.565898551"	"0.407253363"	"0.399813368"	"0.341355109"	"0.623469752"	"0.653944108"	"0.473105698"	"0.528797012"	"0.201861514"	"0.760855752"	"0.757749322"	"0.624028352"	"0.321300835"	"0.700192816"	"0.262393335"	"0.862174941"	"0.657299207"	"0.126065946"	"0.233974199"	"0.805862983"	"0.482807651"	"0.704608285"	"0.863822302"	"0.593488769"	"0.258809779"	"0.316723072"	"0.73398701"	"0.735247525"	"0.439164415"	"0.890536705"	"0.191114344"	"0.257954114"	"0.260117105"	"0.74988976"	"0.419012346"	"0.729112441"	"0.772569337"	"0.663748703"	"0.236932584"	"1"	"1"
"GSM2862803"	"0.708724374"	"0.567542629"	"0.77645931"	"0.2344955"	"0.629782433"	"0.594305238"	"0.628622131"	"0.530533213"	"0.854666665"	"0.546638297"	"0.808540047"	"0.62579612"	"0.793855137"	"0.357733897"	"0.394810494"	"0.669826579"	"0.701792433"	"0.71379712"	"0.563138447"	"0.570949804"	"0.735818678"	"0.730836457"	"0.478108282"	"0.641095784"	"0.330843882"	"0.169291629"	"0.59223978"	"0.176937541"	"0.577437621"	"0.396306935"	"0.791464651"	"0.260850269"	"0.462024028"	"0.63074965"	"0.414954949"	"0.816646161"	"0.718265935"	"0.63329343"	"0.947690001"	"0.332827471"	"0.462854076"	"0.821819892"	"0.590535287"	"0.841487395"	"0.796303904"	"0.640691086"	"0.643640975"	"0.668076651"	"0.132106251"	"0.323657621"	"0.782310802"	"0.31886241"	"0.534001033"	"0.337539609"	"0.771398206"	"0.427559006"	"0.631172028"	"0.402908241"	"0.573952014"	"0.494627949"	"0.209302026"	"0.149991454"	"0.601219246"	"0.508611229"	"0.736734639"	"0.877654588"	"0.360256184"	"0.759886962"	"0.691426"	"0.743851035"	"0.362406112"	"0.77770757"	"0.460000821"	"0.75485519"	"0.734989195"	"0.585032787"	"0.282599852"	"0.289066209"	"0.728405338"	"0.592159072"	"0.558614924"	"0.723377953"	"0.724782741"	"0.401856612"	"0.502908688"	"0.687908388"	"0.400892723"	"0.456066986"	"0.343787621"	"0.732275694"	"0.705552822"	"0.418170964"	"0.548759886"	"0.136361749"	"0.613067681"	"0.698665057"	"0.613366325"	"0.291830866"	"0.685925606"	"0.24501451"	"0.893415435"	"0.54877504"	"0.14874174"	"0.24898665"	"0.847832519"	"0.581179895"	"0.650272773"	"0.884938658"	"0.698708593"	"0.232745773"	"0.219416288"	"0.724297913"	"0.65991751"	"0.482870438"	"0.867467569"	"0.185923904"	"0.383191327"	"0.376039129"	"0.800734512"	"0.338510194"	"0.748875616"	"0.807955909"	"0.696420238"	"0.312675092"	"1"	"1"
"GSM2862804"	"0.645117015"	"0.381266377"	"0.699504235"	"0.19814654"	"0.578391576"	"0.585141407"	"0.584289018"	"0.58233832"	"0.871452073"	"0.518115332"	"0.76241253"	"0.633688615"	"0.846919315"	"0.269613447"	"0.253050224"	"0.729084401"	"0.559465203"	"0.649039974"	"0.635063652"	"0.574763815"	"0.773277064"	"0.718763804"	"0.588653432"	"0.633850053"	"0.272066963"	"0.266967927"	"0.681739728"	"0.127993225"	"0.527959544"	"0.349635757"	"0.745029939"	"0.177394771"	"0.532377803"	"0.679439617"	"0.616906734"	"0.782348845"	"0.774053287"	"0.640408098"	"0.948959295"	"0.335133191"	"0.287752281"	"0.824307537"	"0.539747162"	"0.878418223"	"0.731395607"	"0.681715589"	"0.722107347"	"0.595565944"	"0.139907963"	"0.304772332"	"0.765028289"	"0.233957192"	"0.564190678"	"0.553276901"	"0.797384641"	"0.232432259"	"0.651476715"	"0.321750156"	"0.590075056"	"0.470986814"	"0.179312402"	"0.11509846"	"0.580925212"	"0.566853788"	"0.722404966"	"0.850946539"	"0.392033477"	"0.815633558"	"0.759310214"	"0.788273057"	"0.431213611"	"0.833357594"	"0.42627007"	"0.819343447"	"0.717432885"	"0.620165113"	"0.21589744"	"0.309390308"	"0.539450428"	"0.661128439"	"0.54318458"	"0.646244767"	"0.732142416"	"0.30546632"	"0.536383062"	"0.665231793"	"0.461107802"	"0.471427653"	"0.260304778"	"0.569467303"	"0.699598969"	"0.292957449"	"0.47955503"	"0.197689615"	"0.652521333"	"0.638439774"	"0.59696491"	"0.223603935"	"0.752647307"	"0.1845496"	"0.891821463"	"0.551292703"	"0.180664085"	"0.278281467"	"0.822944455"	"0.451044301"	"0.665304209"	"0.865124406"	"0.547090982"	"0.285234924"	"0.165195565"	"0.739584172"	"0.591104681"	"0.533643603"	"0.866780719"	"0.186715072"	"0.349937429"	"0.350592409"	"0.713587222"	"0.320844254"	"0.78350415"	"0.683231688"	"0.699943784"	"0.303267875"	"1"	"1"
"GSM2862805"	"0.238792061"	"0.69767089"	"0.446416615"	"0.442251455"	"0.567583917"	"0.433760707"	"0.65417246"	"0.421162776"	"0.703882508"	"0.748217905"	"0.729664158"	"0.667492492"	"0.65983226"	"0.504699405"	"0.502546827"	"0.589360641"	"0.511956888"	"0.799169374"	"0.522434918"	"0.724767526"	"0.900837022"	"0.511698765"	"0.819288277"	"0.516756566"	"0.463796988"	"0.463918038"	"0.745001623"	"0.29438107"	"0.901528802"	"0.333406214"	"0.680464487"	"0.059185887"	"0.360012664"	"0.58253494"	"0.345336421"	"0.66830292"	"0.503316487"	"0.698916581"	"0.897227504"	"0.507760597"	"0.286806441"	"0.698883896"	"0.4625176"	"0.821141108"	"0.880160899"	"0.557725547"	"0.585661288"	"0.507281766"	"0.196424315"	"0.177817738"	"0.538556594"	"0.151722021"	"0.308547655"	"0.475888981"	"0.738401942"	"0.322431446"	"0.758081494"	"0.418750631"	"0.48493862"	"0.380459184"	"0.240773787"	"0.20389423"	"0.796590928"	"0.724649563"	"0.828016198"	"0.734135379"	"0.131421368"	"0.693449456"	"0.586816686"	"0.84523657"	"0.203125715"	"0.570239566"	"0.215826591"	"0.550161017"	"0.721922227"	"0.842190016"	"0.20586522"	"0.203061762"	"0.831536183"	"0.448121672"	"0.718400795"	"0.609516252"	"0.457637782"	"0.41191552"	"0.260287737"	"0.730810371"	"0.230720628"	"0.601375661"	"0.423416124"	"0.814300607"	"0.595875251"	"0.525494624"	"0.476655856"	"0.116050208"	"0.632283768"	"0.698163045"	"0.442318304"	"0.370815916"	"0.525481003"	"0.323398729"	"0.823241778"	"0.454627222"	"0.206503876"	"0.304878812"	"0.746197503"	"0.859119435"	"0.634677299"	"0.833716635"	"0.673850993"	"0.33590684"	"0.281723151"	"0.8318693"	"0.7628091"	"0.349648824"	"0.613337869"	"0.23750431"	"0.197485528"	"0.336252715"	"0.877968191"	"0.460465756"	"0.569320572"	"0.607990381"	"0.769941874"	"0.504453123"	"1"	"0"
"GSM2862806"	"0.614201921"	"0.610523234"	"0.774486238"	"0.288732796"	"0.671051909"	"0.520646025"	"0.700283491"	"0.570771091"	"0.830648795"	"0.555812874"	"0.767129615"	"0.733322182"	"0.804868173"	"0.384174123"	"0.432182285"	"0.593760024"	"0.665183951"	"0.748235271"	"0.610087525"	"0.688384139"	"0.818733835"	"0.668081671"	"0.469250529"	"0.606725993"	"0.319233739"	"0.392703723"	"0.694453775"	"0.163795758"	"0.68129276"	"0.372440889"	"0.780273807"	"0.458176956"	"0.4479124"	"0.721897765"	"0.447404817"	"0.811530579"	"0.704378035"	"0.764958073"	"0.942898814"	"0.392848775"	"0.344469477"	"0.849983568"	"0.544816967"	"0.85299467"	"0.684091627"	"0.649465311"	"0.730759765"	"0.663549087"	"0.21024324"	"0.393454944"	"0.720730202"	"0.408706297"	"0.533707163"	"0.327689422"	"0.741274306"	"0.379121928"	"0.683877253"	"0.272689724"	"0.637115218"	"0.534062488"	"0.226120916"	"0.178885423"	"0.659666239"	"0.536177537"	"0.788662339"	"0.854606539"	"0.257924774"	"0.890985846"	"0.737100565"	"0.774930363"	"0.47753505"	"0.734641548"	"0.502676974"	"0.738710726"	"0.633150777"	"0.663905509"	"0.26171037"	"0.325766801"	"0.60926016"	"0.759491518"	"0.62559976"	"0.638053161"	"0.866135344"	"0.430757839"	"0.444863445"	"0.719691858"	"0.435615381"	"0.505339814"	"0.402215319"	"0.63948499"	"0.697480211"	"0.428884351"	"0.540060091"	"0.187794202"	"0.596515571"	"0.664674814"	"0.609137756"	"0.366726335"	"0.733855829"	"0.279000479"	"0.901711221"	"0.597958484"	"0.148795201"	"0.312423628"	"0.834354078"	"0.670428894"	"0.726087965"	"0.871897726"	"0.476347533"	"0.340511604"	"0.280453366"	"0.699929858"	"0.636569922"	"0.480467655"	"0.872102385"	"0.25011654"	"0.366504555"	"0.304300355"	"0.797541588"	"0.380499973"	"0.704825969"	"0.727443486"	"0.703257318"	"0.331604841"	"1"	"1"
"GSM2862807"	"0.596028254"	"0.533594963"	"0.766032771"	"0.21277486"	"0.604465"	"0.535717698"	"0.704350851"	"0.61446381"	"0.866052903"	"0.489206348"	"0.787698717"	"0.711104868"	"0.810832678"	"0.290628857"	"0.388428345"	"0.667276601"	"0.464702562"	"0.709763886"	"0.617549722"	"0.671619107"	"0.770863555"	"0.778233079"	"0.447411458"	"0.695920616"	"0.304286054"	"0.164222476"	"0.584972359"	"0.149272445"	"0.616820857"	"0.365908461"	"0.835079659"	"0.484600073"	"0.43278496"	"0.704098147"	"0.539133874"	"0.813642783"	"0.741775366"	"0.724477937"	"0.93752412"	"0.376218918"	"0.359998257"	"0.848304413"	"0.653327607"	"0.875630781"	"0.843624263"	"0.733592847"	"0.722514063"	"0.572081078"	"0.159573411"	"0.367407356"	"0.683091862"	"0.370971333"	"0.537328862"	"0.269768395"	"0.758702841"	"0.448275856"	"0.735389454"	"0.408807877"	"0.700941013"	"0.479086"	"0.16768549"	"0.144411474"	"0.586848343"	"0.516118819"	"0.696724271"	"0.815236404"	"0.365165207"	"0.867914811"	"0.798219928"	"0.717014284"	"0.483310564"	"0.866390065"	"0.571429654"	"0.73680305"	"0.644758194"	"0.728374192"	"0.274606276"	"0.302795626"	"0.615678776"	"0.667732523"	"0.524891428"	"0.627429144"	"0.753128782"	"0.376277633"	"0.407249166"	"0.542150154"	"0.36621495"	"0.513399161"	"0.257978964"	"0.611717808"	"0.68734211"	"0.243193586"	"0.488819419"	"0.200713443"	"0.64750451"	"0.799196443"	"0.657414933"	"0.274386311"	"0.690379357"	"0.262967766"	"0.906523611"	"0.613640262"	"0.151188929"	"0.29248067"	"0.821295907"	"0.507142374"	"0.770001971"	"0.881198738"	"0.544716839"	"0.344542506"	"0.281234812"	"0.738447073"	"0.614394775"	"0.552851328"	"0.888039009"	"0.171356296"	"0.432903085"	"0.424553376"	"0.808693852"	"0.337462944"	"0.821472875"	"0.709168921"	"0.623168034"	"0.318172089"	"1"	"1"
